ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
faheybi01,"Fahey, Bill",N,1971,1983,11,C,0,383,934,75,225,26,2,7,83,9,2,74,93,12,2,14,7,16,28,83,241,296,296
fairlro01,"Fairly, Ron",N,1958,1978,21,1B,0.1,2442,7184,931,1913,307,33,215,1044,35,33,1052,877,129,40,96,65,157,340,1087,266,408,360
fasansa01,"Fasano, Sal",N,1996,2008,11,C,0,427,1109,136,245,49,0,47,140,2,3,72,327,1,47,12,5,26,49,74,221,392,295
feldemi01,"Felder, Mike",N,1985,1994,10,OF,0,899,2262,318,564,59,32,14,173,161,46,168,217,8,6,45,16,19,91,329,249,322,301
fergujo01,"Ferguson, Joe",N,1970,1983,14,C,0,1013,3001,407,719,121,11,122,445,22,12,562,607,64,9,17,35,86,132,584,240,409,358
fermife01,"Fermin, Felix",N,1987,1996,10,SS,0,903,2767,294,718,86,11,4,207,27,21,166,147,4,24,96,19,88,97,193,259,303,305
fernato01,"Fernandez, Tony",N,1983,2001,17,SS,0.29,2158,7911,1057,2276,414,92,94,844,246,138,690,784,48,64,67,61,161,506,936,288,399,347
fickro01,"Fick, Robert",N,1998,2007,10,1B,0.1,846,2373,287,613,116,12,69,324,6,9,235,386,19,22,4,24,61,128,241,258,405,328
fieldce01,"Fielder, Cecil",N,1985,1998,13,1B,0.23,1470,5157,744,1313,200,7,319,1008,2,6,693,1316,76,43,0,46,169,207,695,255,482,345
finlest01,"Finley, Steve",N,1989,2007,19,OF,0.11,2583,9397,1443,2548,449,124,304,1167,320,118,844,1299,69,53,91,75,152,573,1164,271,442,332
fischmi01,"Fischlin, Mike",N,1977,1987,10,SS,0,517,941,109,207,29,6,3,68,24,13,92,142,1,5,39,5,11,35,116,220,273,291
fiskca01,"Fisk, Carlton",Y,1969,1993,24,C,0.46,2499,8756,1276,2356,421,47,376,1330,128,58,849,1386,105,143,26,79,204,468,977,269,457,341
fitzgmi02,"Fitzgerald, Mike",N,1983,1992,10,C,0,848,2316,220,545,95,9,48,293,31,20,292,432,42,9,28,22,65,104,323,235,346,321
flahejo01,"Flaherty, John",N,1992,2005,14,C,0,1047,3372,319,849,176,3,80,395,10,19,175,514,15,19,41,33,97,179,185,252,377,290
flannti01,"Flannery, Tim",N,1979,1989,11,2B,0,972,2473,255,631,77,25,9,209,22,22,277,293,35,32,32,24,43,102,299,255,317,335
